name,label
万科公益基金会,0
上海乐三兰馨教育发展基金会,1
上海交响乐团文化发展基金会,2
上海交通大学教育发展基金会,3
上海仁德基金会,4
上海医学创新发展基金会,5
上海华信公益基金会,6
上海叔同深渊科学技术发展基金会,7
上海唐君远教育基金会,8
上海夏征农民族文化教育发展基金会,9
上海大学教育发展基金会,10
上海宋庆龄基金会,11
上海工商界爱国建设特种基金会,12
上海市儿童基金会,13
上海市华侨事业发展基金会,14
上海市拥军优属基金会,15
上海市防癌抗癌事业发展基金会,16
上海市青少年发展基金会,17
上海思麦公益基金会,18
上海恩德公益基金会,19
上海慈慧公益基金会,20
上海明德公益基金会,21
上海民建扶帮公益基金会,22
上海民生艺术基金会,23
上海汤臣慈善基金会,24
上海海事大学教育发展基金会,25
上海特殊关爱基金会,26
上海王正国创伤医学发展基金会,27
上海瑞华慈善基金会,28
上海科技大学教育发展基金会,29
上海联劝公益基金会,30
上海联和新泰战略研究与发展基金会,31
上海能近公益基金会,32
上海至美公益基金会,33
上海荣昶公益基金会,34
上海觉群文教基金会,35
上海诺亚公益基金会,36
东台市阳光助残基金会,37
东润公益基金会,38
东莞市东莞理工学院教育发展基金会,39
东风公益基金会,40
中兴通讯公益基金会,41
中华健康快车基金会,42
中华国际科学交流基金会,43
中华少年儿童慈善救助基金会,44
中华思源工程扶贫基金会,45
中华环境保护基金会,46
中华社会救助基金会,47
中华社会文化发展基金会,48
中南大学教育基金会,49
中南财经政法大学教育发展基金会,50
中国交响乐发展基金会,51
中国人寿慈善基金会,52
中国健康促进基金会,53
中国儿童少年基金会,54
中国光华科技基金会,55
中国光彩事业基金会,56
中国关心下一代健康体育基金会,57
中国农业大学教育基金会,58
中国初级卫生保健基金会,59
中国医药卫生事业发展基金会,60
中国华侨公益基金会,61
中国华夏文化遗产基金会,62
中国华文教育基金会,63
中国发展研究基金会,64
中国古生物化石保护基金会,65
中国听力医学发展基金会,66
中国国际文化交流基金会,67
中国地质大学（武汉）教育发展基金会,68
中国妇女发展基金会,69
中国宋庆龄基金会,70
中国少年儿童文化艺术基金会,71
中国少数民族文化艺术基金会,72
中国志愿服务基金会,73
中国扶贫基金会,74
中国教师发展基金会,75
中国教育发展基金会,76
中国残疾人福利基金会,77
中国民航科普基金会,78
中国法律援助基金会,79
中国海油海洋环境与生态保护公益基金会,80
中国留学人才发展基金会,81
中国癌症基金会,82
中国社会福利基金会,83
中国禁毒基金会,84
中国科学技术大学教育基金会,85
中国移动慈善基金会,86
中国红十字基金会,87
中国经济改革研究基金会,88
中国绿化基金会,89
中国绿色碳汇基金会,90
中国老龄事业发展基金会,91
中国艺术节基金会,92
中国金融教育发展基金会,93
中国青少年发展基金会,94
中国马克思主义研究基金会,95
中天爱心慈善基金会,96
中央财经大学教育基金会,97
中远海运慈善基金会,98
云南华商公益基金会,99
云南君仁博爱基金会,100
云南大益爱心基金会,101
云南教育基金会,102
云南民族文化发展基金会,103
云南省俊发教育扶贫基金会,104
云南省关心下一代基金会,105
云南省妇女儿童发展基金会,106
云南省扶贫基金会,107
云南省绿色环境发展基金会,108
云南省青年创业就业基金会,109
人保慈善基金会,110
亿利公益基金会,111
传媒大学教育基金会,112
兰州大学教育发展基金会,113
内蒙古乌拉特后旗盛安爱心济困基金会,114
内蒙古云曙碧公益事业基金会,115
内蒙古光彩事业基金会,116
内蒙古民族青年文化艺术基金会,117
内蒙古自治区儿童基金会,118
内蒙古青年创业就业基金会,119
凉山州关心下一代基金会,120
凯风公益基金会,121
刘天华阿炳中国民族音乐基金会,122
包头市扶贫基金会,123
北京万通公益基金会,124
北京三一公益基金会,125
北京世纪慈善基金会,126
北京中国国家博物馆事业发展基金会,127
北京中国石油大学教育基金会,128
北京中国青年政治学院教育基金会,129
北京中央民族大学教育基金会,130
北京中央音乐学院教育基金会,131
北京中艺艺术基金会,132
北京中金公益基金会,133
北京交通大学教育基金会,134
北京京东公益基金会,135
北京京华公益事业基金会,136
北京京安公益基金会,137
北京健康长城公益基金会,138
北京光华慈善基金会,139
北京凌盛爱心公益基金会,140
北京利星行慈善基金会,141
北京华亚艺术基金会,142
北京华彬文化基金会,143
北京协和医学基金会,144
北京友好传承文化基金会,145
北京启明星辰慈善公益基金会,146
北京大学教育基金会,147
北京天使妈妈慈善基金会,148
北京妇女儿童发展基金会,149
北京尚善公益基金会,150
北京工业大学教育基金会,151
北京工商大学教育基金会,152
北京市中国人民大学教育基金会,153
北京市仁爱慈善基金会,154
北京市企业家环保基金会,155
北京市光明慈善基金会,156
北京市壹嘉壹慈善基金会,157
北京市希望公益基金会,158
北京市戈友公益援助基金会,159
北京市戏曲艺术发展基金会,160
北京市搜候中国城市文化基金会,161
北京市永源公益基金会,162
北京市美疆助学基金会,163
北京市西部阳光农村发展基金会,164
北京市银杏公益基金会,165
北京市长江科技扶贫基金会,166
北京市阳光保险爱心基金会,167
北京市鸿儒金融教育基金会,168
北京康盟慈善基金会,169
北京彩虹公益基金会,170
北京怡海公益基金会,171
北京感恩公益基金会,172
北京文化发展基金会,173
北京新阳光慈善基金会,174
北京民生文化艺术基金会,175
北京水源保护基金会,176
北京永真公益基金会,177
北京永青农村发展基金会,178
北京爱它动物保护公益基金会,179
北京瑞普华老年救助基金会,180
北京电影学院教育基金会,181
北京白求恩公益基金会,182
北京百度公益基金会,183
北京科技大学教育发展基金会,184
北京绿化基金会,185
北京绿色阳光环保公益基金会,186
北京联想控股公益基金会,187
北京节能与电力技术开发基金会,188
北京萤火虫爱心公益基金会,189
北京语言大学教育基金会,190
北京达理公益基金会,191
北京金融街慈善基金会,192
北京阳光未来艺术教育基金会,193
北京青少年发展基金会,194
北京麦田慈善基金会,195
北海天宁慈善基金会,196
华中科技大学教育发展基金会,197
华民慈善基金会,198
华润慈善基金会,199
华阳慈善基金会,200
南京信息大学教育发展基金会,201
南京大学教育发展基金会,202
南京工业大学教育发展基金会,203
南京市中小学幼儿教师奖励基金会,204
南京新城市慈善基金会,205
南京金鹰国际慈济基金会,206
南昌市汇仁教育基金会,207
南昌市青少年发展基金会,208
南航“十分”关爱基金会,209
南通市爱心帮困基金会,210
南通市老区扶贫基金会,211
南都公益基金会,212
厦门中山医院基金会,213
厦门外国语学校教育基金会,214
厦门观音寺慈善基金会,215
友成企业家扶贫基金会,216
台州市老年事业发展基金会,217
吉林大学教育基金会,218
吉林师范大学助学基金会,219
吉林省体育事业发展基金会,220
吉林省康乃尔公益基金会,221
吴作人国际美术基金会,222
吴江盛虹爱心基金会,223
吴阶平医学基金会,224
周培源基金会,225
呼伦贝尔市扶贫基金会,226
哈尔滨市老年基金会,227
哈尔滨师范大学教育发展基金会,228
四川喜马拉雅慈善基金会,229
四川成都蓝光助学基金会,230
四川桃花源生态保护基金会,231
四川电子科技大学教育发展基金会,232
四川省体育基金会,233
四川省国电大渡河爱心帮扶基金会,234
四川省志愿服务基金会,235
四川省索玛慈善基金会,236
四川省青年创业就业基金会,237
四川资阳五月阳光教育基金会,238
增爱公益基金会,239
大连市妇女儿童发展基金会,240
天津中国民航大学教育发展基金会,241
天津市人口福利基金会,242
天津市妇女儿童发展基金会,243
天津市宏志教育基金会,244
天津市滨海社会救助基金会,245
天津市鹤童老年公益基金会,246
宁夏回族自治区关心下一代基金会,247
宁夏回族自治区扶贫基金会,248
宁夏煤炭职工扶贫济困基金会,249
宁夏青年创业就业基金会,250
宁夏麦丽燕基金会,251
宁波市善园公益基金会,252
宁波市海曙区公益组织发展基金会,253
宁波诺丁汉大学教育发展基金会,254
宁波鄞州银行公益基金会,255
安利公益基金会,256
安徽天徽慈善基金会,257
