name,index
三农,0
体育,1
侨务,2
儿童,3
公共安全,4
公共服务,5
公民人权,6
公益事业发展,7
公益投资,8
公益行业发展,9
创业,10
创业就业,11
动物保护,12
医疗救助,13
卫生保健,14
国际事务,15
妇女,16
安全救灾,17
少数民族,18
就业,19
心理健康,20
志愿服务,21
扶贫助困,22
教育,23
文化,24
残疾,25
法律实施,26
环境,27
社区发展,28
科学研究,29
老年人,30
艺术,31
青少年,32
