index,foundation,project,field,location
69,广西壹方慈善基金会,广西鹿寨县艾滋病病人/感染者关怀支持项目,医疗救助,广西壮族自治区
70,广西壹方慈善基金会,“绿城有爱之家”社区戒毒 项目,公共安全,广西壮族自治区
71,广西壹方慈善基金会,协力善为——柳州关爱老兵项目人力行政经费支持,公共安全，志愿服务,广西壮族自治区
72,广西壹方慈善基金会,协力善为——容县志愿者协会人力行政经费支持,志愿服务,广西壮族自治区
73,厦门中山医院基金会,爱心助先心,医疗救助,福建省厦门市
74,厦门中山医院基金会,复明工程,医疗救助,福建省厦门市
75,厦门中山医院基金会,乳腺癌工程,医疗救助,福建省厦门市
76,厦门中山医院基金会,大病重病,医疗救助,福建省厦门市
77,厦门中山医院基金会,脑瘫康复,医疗救助,福建省厦门市
78,厦门中山医院基金会,慢性肾透析,医疗救助,福建省厦门市
79,厦门中山医院基金会,急诊急救,医疗救助,福建省厦门市
80,福建省正荣公益基金会,资助文化体育事业,公共服务，体育，文化,福建省龙岩市永定县，福建省南平市浦城县
81,福建省正荣公益基金会,资助乡村和城市公益项目,教育，社区发展,福建省南平市浦城县
82,福建省正荣公益基金会,资助公益青年成长,公益行业发展,福建省
83,福建省正荣公益基金会,雅安救灾,安全救灾,四川省雅安市
84,福建省正荣公益基金会,归农书院古民居修缮保护,文化,福建省福州市闽侯县
85,湖南飞翔公益基金会,爱心课桌捐赠,教育,湖南省湘西土家族苗族自治州花垣县
86,湖南飞翔公益基金会,春蕾希望小学捐赠,教育,湖南省长沙市
87,湖南飞翔公益基金会,昂仁县多白乡小学捐赠,教育,西藏自治区昂仁县
88,湖南飞翔公益基金会,栾川县陶湾镇张盘村完小助学,教育,河南省洛阳市栾川县
89,湖南飞翔公益基金会,四川天全县第一小学捐赠,教育,四川省雅安市天全县
90,湖南飞翔公益基金会,福建霞浦长春镇大京村老人幸福家园捐赠,公共服务,福建省宁德市霞浦县
91,湖南飞翔公益基金会,双峰杏子铺镇大丰完小捐赠,教育,湖南省娄底市双峰县
92,湖南飞翔公益基金会,石门县子良乡水田中学捐赠,教育,湖南省常德市石门县
93,湖南青年创业就业基金会,2013年度中国青创会促进青年创业就业专项资金,创业,湖南省
94,湖南青年创业就业基金会,2012年度“湖南省大学生创业基金”项目,创业,湖南省
95,湖南青年创业就业基金会,移动创业大赛、芙蓉学子、青企协、保护母亲河、绿之韵等项目,创业，环境,湖南省长沙市
96,湖南省扶贫基金会,扶贫,教育,湖南省
97,湖南省湖湘文化基金会,资助中南林业科技大学20名贫困学子,教育,湖南省长沙市
98,湖南省湖湘文化基金会,资助嘉鱼县一中10名贫困学子,教育,湖北省咸宁市嘉鱼县
99,湖南省湖湘文化基金会,捐助刘谋向住院治疗费用,医疗救助,湖南省长沙市
100,湖南省湖湘文化基金会,资助宋林施工救助,医疗救助,湖南省
101,湖南省湖湘文化基金会,资助中南林业科技大学10名贫困学子,教育,湖南省长沙市
102,湖南省湖湘文化基金会,捐助湘西凤凰吉信完小,教育,湖南省湘西土家族苗族自治州
103,湖南省湖湘文化基金会,捐助雅安灾后重建工作,安全救灾,四川省雅安市芦山县
104,河南省福兴儿童公益基金会,慰问商丘爱得孤儿院孤儿,扶贫助困,河南省商丘市
105,河南省福兴儿童公益基金会,爱心助学活动,教育,河南省信阳市固始县
106,河南省福兴儿童公益基金会,“六一儿童节”慰问活动,教育,河南省
107,河南省福兴儿童公益基金会,盛夏享清凉，爱心瓜送儿童,卫生保健,河南省郑州市市辖区
