index,foundation,project,field,location
750,河北省红十字基金会,重症肝病救助款,医疗救助,河北省
751,河北省红十字基金会,助学基金,教育,河北省
752,江苏省扶贫基金会,扶贫示范项目,扶贫助困,江苏省
753,江苏省扶贫基金会,扶贫项目服务费,扶贫助困,江苏省
754,江苏省扶贫基金会,助学扶贫,教育,江苏省
755,江苏省扶贫基金会,捐赠,,江苏省
756,浙江大学宁波理工学院教育发展基金会,学生爱心基金,教育,浙江省宁波市鄞州区
757,北京百度公益基金会,资助弱势群体教育项目,教育，医疗救助,
758,浙江大学宁波理工学院教育发展基金会,校外结对活动,教育,四川省成都市都江堰市
759,浙江大学宁波理工学院教育发展基金会,寒门学子,教育,浙江省宁波市鄞州区
760,浙江大学宁波理工学院教育发展基金会,雅安地震及赈灾捐赠活动,安全救灾,四川省雅安市
761,北京百度公益基金会,蒲公英计划,教育,湖北省恩施土家族苗族自治州恩施市，湖南省怀化市通道侗族自治县，云南省大理白族自治州南涧彝族自治县，湖北省恩施土家族苗族自治州恩施市，河北省张家口市宣化县，广西壮族自治区百色市凌云县，广西壮族自治区河池市都安瑶族自治县，甘肃省陇南市宕昌县
762,北京百度公益基金会,公安民警扶助,公共安全,
763,北京百度公益基金会,为雅安灾区捐款,安全救灾,四川省雅安市
764,北京百度公益基金会,保护水源地环境信息化建设,环境,
765,北京百度公益基金会,救助动物项目,动物保护,北京市东城区
766,北京百度公益基金会,最公益项目,公益行业发展,
767,北京百度公益基金会,爱佑救助项目,医疗救助,
768,浙江敦和慈善基金会,西藏那曲先天性心脏病儿童救助,公益行业发展,西藏自治区那曲地区
769,浙江敦和慈善基金会,2012年度、2013年度十大社会事件评选,公益行业发展,全国
770,浙江敦和慈善基金会,中国滋根乡村教育与发展促进会机构运营支持,公益行业发展,北京市昌平区
771,浙江敦和慈善基金会,“雏雁起飞”大学生公益行动激励计划,公益行业发展,全国
772,浙江敦和慈善基金会,浙江贫困家庭儿童意外伤害救助,公益行业发展,浙江省
773,浙江敦和慈善基金会,尘肺病农民救助,公益行业发展,全国
774,浙江敦和慈善基金会,宁波贫困家庭儿童听力康复,医疗救助,浙江省宁波市鄞州区
775,浙江敦和慈善基金会,“梦想中心”素质教育,公益行业发展,浙江省杭州市上城区
776,浙江敦和慈善基金会,桥畔计划,公益行业发展,北京市海淀区
777,浙江敦和慈善基金会,宁波贫困家庭大病应急救助,公益行业发展,浙江省宁波市
778,浙江敦和慈善基金会,黔东南少数民族文化保护和公益小天使项目,公益行业发展,贵州省
779,浙江敦和慈善基金会,第五届中国非公募基金会发展论坛2013年会,公益行业发展,北京市东城区
780,浙江敦和慈善基金会,瓷娃娃2013全国病人大会,公益行业发展,北京市丰台区
781,浙江敦和慈善基金会,基金会中心网三周年大会,公益行业发展,北京市东城区
782,浙江敦和慈善基金会,中国民间公益透明项目,公益行业发展,广东省深圳市盐田区
783,浙江敦和慈善基金会,杭州未成年女孩自我防护教育,公益行业发展,浙江省杭州市西湖区
784,浙江敦和慈善基金会,浙江抗战老兵大病救助,公益行业发展,广东省深圳市福田区
785,浙江敦和慈善基金会,阿拉善SEE生态协会会费,公益行业发展,北京市朝阳区
786,浙江敦和慈善基金会,《中国社会组织评估发展报告（2013）》出版,公益行业发展,上海市闵行区
787,浙江敦和慈善基金会,北京春苗儿童救助基金会机构发展支持,公益行业发展,北京市西城区
788,浙江敦和慈善基金会,农孵计划,公益行业发展,内蒙古自治区赤峰市
789,浙江敦和慈善基金会,公益从业者关爱和救助,公益行业发展,江苏省南京市鼓楼区
790,浙江敦和慈善基金会,盲人信息无障碍团队建设,公益行业发展,广东省深圳市福田区
791,浙江敦和慈善基金会,银杏伙伴成长计划,公益行业发展,北京市朝阳区
792,浙江敦和慈善基金会,逄飞个人发展支持,公益行业发展,浙江省杭州市上城区
793,浙江敦和慈善基金会,天台县南屏学校校园改造和文化建设,教育,浙江省台州市天台县
794,浙江敦和慈善基金会,基金会培育项目,公益行业发展,上海市浦东新区
795,浙江敦和慈善基金会,灾难及突发报道支持专项基金,公益行业发展,广东省广州市越秀区
796,浙江敦和慈善基金会,抑郁症常识的宣传普及,公益行业发展,北京市通州区
797,浙江敦和慈善基金会,新工场协力中心联合劝募基金,公益行业发展,北京市朝阳区
798,浙江敦和慈善基金会,中华慈善百人论坛,公益行业发展,江苏省无锡市
799,江苏省青少年发展基金会,志愿者服务基金,志愿服务,江苏省
800,江苏省青少年发展基金会,励志阳光助学基金,教育,江苏省
801,江苏省青少年发展基金会,菲尼克斯助学基金,教育,江苏省
802,江苏省青少年发展基金会,希望工程圆梦行动,教育,江苏省
803,江苏元林慈善基金会,元林老年大学（江阴、靖江、泰兴）,教育,江苏省无锡市江阴市，江苏省泰州市靖江市，江苏省泰州市泰兴市
804,江苏元林慈善基金会,淮安市涟水革命陈列馆,公共服务,江苏省淮安市
805,江苏元林慈善基金会,“龙城英才计划˙元林创业精英奖”,创业,江苏省常州市
806,江苏元林慈善基金会,四川雅安天凤乡凤槐村灾后恢复重建,安全救灾,四川省雅安市
807,江苏元林慈善基金会,扬子江船业员工互助帮困基金会,公益行业发展,江苏省
808,杭州市关爱孤儿基金会,春节、六一慰问各福利院,公共服务,浙江省杭州市
809,杭州市关爱孤儿基金会,第四届散居孤儿夏令营活动,公共服务,浙江省杭州市
810,杭州市关爱孤儿基金会,助学活动,教育,浙江省杭州市
811,杭州市关爱孤儿基金会,教师节慰问,公共服务，教育,浙江省杭州市
812,江苏中大公益基金会,老年关怀计划-美华社区,公共服务,江苏省
813,江苏中大公益基金会,学生成长计划-复旦管院学生成长基金,科学研究,上海市
814,江苏中大公益基金会,老年关怀计划-宜兴尊老社,公共服务,江苏省
815,江苏中大公益基金会,学生成长计划-新疆阿图什学校奖学金,教育,新疆维吾尔自治区
816,江苏中大公益基金会,学生成长计划-吴忠市吴忠中学,教育,宁夏回族自治区吴忠市
817,江苏中大公益基金会,学生成长计划-昆山市德育基金,教育,江苏省苏州市昆山市
818,苏州明德公益基金会,幸福校园典范计划,文化,江苏省
819,吉林大学教育基金会,奖学金项目,教育,吉林省长春市
820,吉林大学教育基金会,助学金项目,教育,吉林省长春市
821,吉林大学教育基金会,奖教金项目,教育,吉林省长春市
822,吉林大学教育基金会,潍柴人才培养基金,教育,吉林省长春市
823,吉林大学教育基金会,丰田汽车合作项目,教育,吉林省长春市
824,吉林大学教育基金会,欧亚合作项目,教育,吉林省长春市
825,吉林大学教育基金会,法学院讲座基金,教育,吉林省长春市
826,吉林大学教育基金会,日本佛教大学项目,教育,吉林省长春市
827,吉林大学教育基金会,长白山资源开发创新项目,教育，科学研究,吉林省长春市
828,吉林大学教育基金会,体育学院发展基金,教育,吉林省长春市
829,吉林大学教育基金会,保护母亲河项目,环境,吉林省长春市
830,吉林大学教育基金会,长房合作项目,教育,吉林省长春市
831,吉林大学教育基金会,法学院发展基金,教育,吉林省长春市
832,吉林大学教育基金会,郭娇救助项目,教育,吉林省长春市
833,吉林大学教育基金会,吉林大学附属小学发展基金,教育,吉林省长春市
834,吉林大学教育基金会,思源计划项目,教育,吉林省长春市
835,吉林大学教育基金会,学院发展基金,教育,吉林省长春市
836,哈尔滨市老年基金会,爱心慈善护养区,扶贫助困,黑龙江省哈尔滨市
837,哈尔滨市老年基金会,舞动龙江万名老年人活动,公共服务,黑龙江省哈尔滨市
838,哈尔滨市老年基金会,三亚异地养老服务,公共服务,海南省三亚市
839,河北省青年就业创业基金会,下拨经费,创业，教育,河北省
840,河北省青年就业创业基金会,关爱农民工子女志愿服务行动,志愿服务,河北省石家庄市新华区
841,河北省青年就业创业基金会,青春风采 靓丽河北——全省青少年助力改善两个环境“绿丝带”行动,环境，教育,河北省
842,北京光华慈善基金会,光华公益创业培训项目,公益行业发展,北京市东城区
843,河北省青年就业创业基金会,青春照靓新河北“百名青年风尚人物”评选,教育,河北省
844,苏州和合文化基金会,苏州寒山寺文化论坛,文化,江苏省苏州市金阊区
845,北京光华慈善基金会,光华中学助学项目,教育,陕西省延安市延长县
846,河北省青年就业创业基金会,“微友助力改善两个环境”活动,环境，教育,河北省
847,北京光华慈善基金会,定向捐赠助学项目,教育,四川省达州市宣汉县，陕西省延安市延长县
848,北京光华慈善基金会,灯塔行动项目,科学研究,北京市海淀区
849,北京光华慈善基金会,延长县救灾项目,安全救灾,陕西省延安市延长县
850,苏州和合文化基金会,捐资助教,教育,云南省大理白族自治州洱源县
851,苏州和合文化基金会,首届和合慈善活动,文化,江苏省苏州市虎丘区
852,苏州和合文化基金会,救灾救难,安全救灾,四川省雅安市芦山县
853,苏州和合文化基金会,关爱老人,公共服务,江苏省苏州市金阊区
854,苏州和合文化基金会,和合文化书画展,文化,江苏省苏州市沧浪区
855,安徽天徽慈善基金会,为我省乡村老年人提供医疗卫生和活动设施,公共服务,安徽省
856,苏州和合文化基金会,捐赠贫困儿童、白血病人等,医疗救助,贵州省，江苏省南通市海安县，江苏省苏州市太仓市
857,苏州和合文化基金会,“亲亲故事会”“关爱地球村”公益活动,公共服务，环境,江苏省苏州市金阊区
858,苏州和合文化基金会,感知和合文化活动,文化,
859,苏州和合文化基金会,“宗教慈善周”助残活动,医疗救助,江苏省苏州市金阊区，江苏省苏州市吴中区
860,杭州市余杭区老年基金会,老年活动室建设补助,社区发展,浙江省杭州市余杭区
861,杭州市余杭区老年基金会,慰问高龄老人、失能老人,公共服务,浙江省杭州市余杭区
862,杭州市余杭区老年基金会,补助各类老年人社会团体活动经费,文化,浙江省杭州市余杭区
863,贵州省春晖行动发展基金会,“春晖演讲大赛”,文化,贵州省
864,贵州省春晖行动发展基金会,“春晖家园计划”项目,公共服务，三农,贵州省
865,北京青少年发展基金会,学生资助款,教育,北京市
866,北京青少年发展基金会,学校资助款,教育,北京市
867,北京青少年发展基金会,爱心资助款,公共服务,北京市
868,北京青少年发展基金会,100365首善行动,公共服务,北京市
869,北京青少年发展基金会,专项活动捐款,公共服务,北京市
870,贵州省春晖行动发展基金会,“百年职校”项目,就业,贵州省
871,北京青少年发展基金会,专项基金,公益行业发展,北京市
872,北京青少年发展基金会,和田发展基金,社区发展,新疆维吾尔自治区和田地区
873,贵州省春晖行动发展基金会,《春晖》杂志,文化,贵州省
874,北京青少年发展基金会,绿色希望工程,环境,北京市
875,北京青少年发展基金会,物资捐赠,教育,
876,贵州省春晖行动发展基金会,致公学生培养计划,公共服务,贵州省
877,北京青少年发展基金会,波音基金,科学研究,北京市
878,北京青少年发展基金会,赈灾款,安全救灾,四川省雅安市
879,北京青少年发展基金会,一般性捐款,扶贫助困,北京市
880,深圳市综研软科学发展基金会,资助第四届（2013年度）中国软科学奖,科学研究,北京市
881,深圳市综研软科学发展基金会,资助公共政策研究,科学研究,深圳市
882,四川成都蓝光助学基金会,脑瘫儿童捐赠,医疗救助,四川省
883,深圳市综研软科学发展基金会,资助2013年度综研基金•中国智库论坛,科学研究,北京市
884,深圳市综研软科学发展基金会,资助功利主义研究,科学研究,深圳市
885,深圳市综研软科学发展基金会,资助开放问题研究,科学研究,深圳市
886,四川成都蓝光助学基金会,最美乡村教师,教育,四川省
887,四川成都蓝光助学基金会,四川大学锦城学院,教育,四川省
888,吉林省康乃尔公益基金会,向胡淑芝、李凤云困难家庭捐款,扶贫助困,吉林省
889,吉林省康乃尔公益基金会,关爱进校园活动捐款,文化,吉林省
890,吉林省康乃尔公益基金会,向公安局荣立三等功的子女发放助学金,公共安全，教育,吉林省
891,吉林省康乃尔公益基金会,向中国女性智慧基金捐款,公益行业发展,
892,吉林省康乃尔公益基金会,向受灾村民捐款,安全救灾,吉林省辽源市龙山区
893,宁夏回族自治区扶贫基金会,资助贫困生,扶贫助困,宁夏回族自治区吴忠市盐池县
894,宁夏回族自治区扶贫基金会,资助白血病患者,医疗救助,宁夏回族自治区中卫市
895,宁夏回族自治区扶贫基金会,广东国华纪念中学在宁招生项目,教育,广东省广州市番禺区
896,宁夏回族自治区扶贫基金会,吴忠市孙家滩项目,扶贫助困,宁夏回族自治区银川市
897,黑龙江大学教育发展基金会,学工部特困助学金,教育,黑龙江省哈尔滨市香坊区
898,贵州省妇女儿童发展基金会,妇女“两癌”救助,医疗救助,贵州省
899,黑龙江大学教育发展基金会,小树基金,教育,黑龙江省哈尔滨市香坊区
900,黑龙江大学教育发展基金会,黑龙江大学车辆智能管理系统,教育,黑龙江省哈尔滨市香坊区
901,贵州省妇女儿童发展基金会,“母亲水窖及ITT水印计划”项目,三农,贵州省
902,大连市妇女儿童发展基金会,“贫困家庭儿童重症肺炎援助”项目,医疗救助,辽宁省大连市
903,贵州省妇女儿童发展基金会,“春蕾计划”助学项目,教育,贵州省
904,黑龙江大学教育发展基金会,电子工程学院捐助特困生,教育,黑龙江省哈尔滨市香坊区
905,大连市妇女儿童发展基金会,“农村低保单亲母亲危房援建”项目,扶贫助困,辽宁省大连市
906,大连市妇女儿童发展基金会,“大连母亲健康服务站”项目,卫生保健,辽宁省大连市
907,黑龙江大学教育发展基金会,黑龙江大学校史馆扩建工程,教育,黑龙江省哈尔滨市香坊区
908,贵州省妇女儿童发展基金会,“百事饮水安全”项目,公共服务,贵州省
909,大连市妇女儿童发展基金会,“大连铭洋阳光儿童成长乐园”项目,公共服务,辽宁省大连市
910,贵州省妇女儿童发展基金会,“成美励志”助学项目,教育，就业,贵州省黔南布依族苗族自治州
911,大连市妇女儿童发展基金会,“贫困家庭儿童危重创伤援助”项目,医疗救助,辽宁省大连市
912,大连市妇女儿童发展基金会,“粉红丝带援助”项目,卫生保健，医疗救助,辽宁省大连市
913,大连市妇女儿童发展基金会,“幸福女性课堂”项目,教育,辽宁省大连市
914,大连市妇女儿童发展基金会,“新学堂歌光碟捐赠”项目,教育，艺术,辽宁省大连市
915,大连市妇女儿童发展基金会,“阳光春雷助学”项目,教育,辽宁省大连市
916,北京节能与电力技术开发基金会,电力节能奖学金发放,教育,北京市海淀区
917,大连市妇女儿童发展基金会,“贫困母亲救助”项目,卫生保健,辽宁省大连市
918,北京节能与电力技术开发基金会,优秀论文作者奖励,科学研究,北京市
919,北京节能与电力技术开发基金会,密云华润希望小镇智能用电管理信息系统建设,社区发展,北京市密云县
920,北京节能与电力技术开发基金会,用于柔性直流配电的新型直流固态变压器,科学研究,北京市海淀区
921,北京节能与电力技术开发基金会,高校教室智能节能控制系统设计与实现,科学研究,北京市海淀区
922,四川电子科技大学教育发展基金会,大学教育发展基金会,教育,四川省成都市
923,四川电子科技大学教育发展基金会,学生发展项目2013,教育，科学研究,四川省成都市
924,贵州省贵阳市生态文明基金会,贵阳能源集团杯“珍爱自然•保护生态—绿色低碳，善行100”公益徒步募捐,环境,贵州省贵阳市
925,贵州省贵阳市生态文明基金会,第五届“生态家园”少儿环保夏令营,环境,贵州省贵阳市
926,贵州省贵阳市生态文明基金会,百花湖乡坳上组"心系水源，减污行动"——参与式环境污染治理示范项目,环境,贵州省贵阳市
927,贵州省贵阳市生态文明基金会,贵阳地区高校社团环保公益小额项目资助计划,环境,贵州省贵阳市
928,贵州省贵阳市生态文明基金会,基金会与中华环保联合会共同举办的 “环境普法下基层——西部行”走进贵,法律实施，环境,河北省，安徽省，陕西省，黑龙江省，甘肃省，云南省，重庆市
929,北京绿化基金会,首都百万亩造林支撑工程-文冠果项目,环境,北京市怀柔区
930,北京绿化基金会,内蒙古正蓝旗沙地柏治沙工程,环境,内蒙古自治区锡林郭勒盟正蓝旗
931,北京绿化基金会,园林绿化有机肥,环境,北京市怀柔区
932,北京绿化基金会,两都植绿护京城,环境,北京市怀柔区
933,北京绿化基金会,青少年绿之梦及青少年以废换绿苗木基地,环境,北京市怀柔区
934,北京绿化基金会,强生植树造林配套项目,公共服务,北京市怀柔区
935,北京绿化基金会,中华民族大团结绿色文化林,公共服务,北京市
936,北京绿化基金会,八达岭碳汇林,环境,北京市怀柔区
937,北京绿化基金会,其他配套支出,环境,
938,四川电子科技大学教育发展基金会,四川电子科技大学教育发展基金会,教育,四川省成都市
939,四川电子科技大学教育发展基金会,海外学习交流项目2013,教育,四川省成都市
940,四川电子科技大学教育发展基金会,教学科研项目2013,科学研究,四川省成都市
941,四川电子科技大学教育发展基金会,教师资助项目2013,教育,四川省成都市
942,四川电子科技大学教育发展基金会,学术交流项目2013,教育,四川省成都市
943,四川电子科技大学教育发展基金会,校友活动项目2013,教育,四川省成都市
944,四川电子科技大学教育发展基金会,学科发展项目2013,科学研究,四川省成都市
945,四川电子科技大学教育发展基金会,创新创业项目,创业,四川省成都市
946,爱佑慈善基金会,爱佑童心,医疗救助,全国
947,爱佑慈善基金会,爱佑新生,医疗救助,
948,爱佑慈善基金会,爱佑天使,医疗救助,
949,爱佑慈善基金会,爱佑和康,卫生保健,
950,爱佑慈善基金会,其他,医疗救助,四川省雅安市，全国
951,宝钢教育基金会,宝钢教育奖2013,教育,
952,宝钢教育基金会,云南希望工程学校,教育,云南省普洱市
953,宝钢教育基金会,宝山区宝钢优秀教师奖2013,教育,上海市宝山区
954,宝钢教育基金会,宝钢希望小学奖学金,教育,
955,宝钢教育基金会,鲁迅文化基金会,文化,
956,刘天华阿炳中国民族音乐基金会,“中国民乐走出去”研讨会,艺术,江苏省南京市
957,刘天华阿炳中国民族音乐基金会,2013“海内外江南丝竹邀请赛”,文化,江苏省南京市
958,刘天华阿炳中国民族音乐基金会,举办《阿炳诞辰120周年纪念音乐会》系列活动,艺术,江苏省无锡市
959,刘天华阿炳中国民族音乐基金会,“圆梦民乐少年”湘西土家族苗族自治州贫困地区少年儿童学习民族音乐,艺术,江苏省南京市
960,刘天华阿炳中国民族音乐基金会,中央民族乐团大型民族乐剧《印象•国乐》项目,艺术,甘肃省兰州市
961,刘天华阿炳中国民族音乐基金会,名家进校园系列讲座,文化,江苏省南京市
962,华民慈善基金会,大学生就业扶助项目,就业,
963,华民慈善基金会,其他公益项目,教育，科学研究,河北省张家口市涿鹿县，湖南省益阳市南县
964,华民慈善基金会,第五届非公募论坛,公益行业发展,北京市
965,浙江千训爱心慈善基金会,浙江千训爱心慈善基金会,教育,浙江省
966,浙江千训爱心慈善基金会,青少年援助项目,教育,全国
967,浙江千训爱心慈善基金会,光明行,医疗救助,全国
968,浙江千训爱心慈善基金会,紧急灾难援助,安全救灾,全国
969,浙江青田之家公益基金会,新生代数据库建设项目,科学研究,浙江省
970,北京永青农村发展基金会,修桥建路,扶贫助困,云南省昭通市
971,北京永青农村发展基金会,农民生计,三农,甘肃省定西市安定区
972,北京永青农村发展基金会,文化教育培训,教育,河南省开封市兰考县
973,北京市搜候中国城市文化基金会,美丽中国捐款,教育,云南省，广东省
974,北京市搜候中国城市文化基金会,雅安地震壹基金捐款,安全救灾,四川省雅安市
975,北京市搜候中国城市文化基金会,潘集寨,教育,河南省开封市
976,李四光地质科学奖基金会,李四光少年儿童科技奖,科学研究,
977,李四光地质科学奖基金会,李四光优秀学生奖,教育,
978,李四光地质科学奖基金会,第十三次李四光地质科学奖,科学研究,
979,李四光地质科学奖基金会,《李四光》文献片,文化,
980,李四光地质科学奖基金会,新华联科技奖,科学研究,
981,宁夏麦丽燕基金会,爱之树贫困大学生资助项目,教育,宁夏回族自治区
982,宁夏麦丽燕基金会,爱之芽孤儿救助项目,公共服务,宁夏回族自治区
983,宁夏麦丽燕基金会,爱心卫生包项目,卫生保健,宁夏回族自治区
984,人保慈善基金会,向雅安芦山地震捐款捐物,安全救灾,四川省雅安市芦山县
985,人保慈善基金会,向甘肃定西地震捐款捐物,安全救灾,甘肃省定西市岷县，甘肃省定西市漳县
986,人保慈善基金会,开展“绿动中国”环保公益行动,环境,宁夏回族自治区银川市灵武市
987,人保慈善基金会,开展“母亲健康快车”公益活动,卫生保健,新疆维吾尔自治区
988,人保慈善基金会,开展“中国人保.龙子心爱心传递”夏令营公益活动,文化,北京市
989,神华公益基金会,神华爱心行动,医疗救助,河北省，吉林省，山东省，陕西省
990,神华公益基金会,神华爱心学校,教育,江西省赣州市瑞金市，江西省吉安市井冈山市，江西省吉安市吉安县，江西省吉安市新干县，青海省，广西壮族自治区
991,神华公益基金会,神华爱心书屋,教育,宁夏回族自治区，青海省，天津市，内蒙古自治区，陕西省，福建省
992,神华公益基金会,神华爱心助行,医疗救助,新疆维吾尔自治区昌吉回族自治州，新疆维吾尔自治区乌鲁木齐市，新疆维吾尔自治区吐鲁番地区，云南省昭通市
993,宁夏煤炭职工扶贫济困基金会,两节慰问,扶贫助困,宁夏回族自治区
994,宁夏煤炭职工扶贫济困基金会,困难补助,扶贫助困,宁夏回族自治区吴忠市盐池县
995,宁夏煤炭职工扶贫济困基金会,金秋助学,教育,宁夏回族自治区
996,宁夏煤炭职工扶贫济困基金会,捐赠,扶贫助困,宁夏回族自治区吴忠市盐池县
997,黑龙江省妇女儿童基金会,春蕾助学,教育,
998,黑龙江省妇女儿童基金会,恒爱行劝、母亲水窖,扶贫助困,
999,黑龙江省妇女儿童基金会,妇女发展、救助项目,社区发展,
1000,中国古生物化石保护基金会,“金钉子”公益科教宣传项目,文化,
1001,中国古生物化石保护基金会,全国古生物化石保护奖,文化,甘肃省临夏回族自治州
1002,中国古生物化石保护基金会,资助《化石杂志》改版,文化,
1003,中国古生物化石保护基金会,大型矿物标本资助项目,文化,
1004,中国古生物化石保护基金会,公益网站,公共服务，文化,
1005,中国华夏文化遗产基金会,“东方之韵——纸张上的传统艺术”项目成果展,文化,巴黎
1006,中国华夏文化遗产基金会,平遥古城民居保护维修及环境治理实用指南与培训,科学研究,山西省晋中市平遥县
1007,北京永真公益基金会,站桩与身心健康,文化,北京市
1008,北京永真公益基金会,安平基金,公益行业发展,北京市
1009,中国华夏文化遗产基金会,公益网站,公共服务，文化,
1010,北京永真公益基金会,香堂精舍,卫生保健，文化,北京市
1011,中国华夏文化遗产基金会,文化遗产宣传,文化,
1012,中国华夏文化遗产基金会,中医药文化专项基金,安全救灾,
1013,北京永真公益基金会,憶未来,教育,北京市
1014,黑龙江省华侨经济文化基金会,香港烛光教育基金黑龙江乡村英语教师培训班,教育,黑龙江省
1015,北京市戏曲艺术发展基金会,资助戏曲演出制作活动,艺术,北京市东城区
1016,北京市戏曲艺术发展基金会,票友活动项目,艺术,北京市东城区
1017,南京大学教育发展基金会,人才培养,教育,江苏省南京市
1018,南京大学教育发展基金会,实力提升,教育,江苏省南京市
1019,南京大学教育发展基金会,校园建设,教育,江苏省南京市
1020,南京大学教育发展基金会,专用基金,教育,江苏省南京市
1021,北京市戏曲艺术发展基金会,重阳节京剧演出项目,艺术,北京市东城区
1022,北京市戏曲艺术发展基金会,京剧票友联谊会项目,艺术,内蒙古自治区包头市，辽宁省大连市，黑龙江省大庆市，湖南省长沙市，广东省深圳市
1023,北京市戏曲艺术发展基金会,五四青年节京剧演出项目,艺术,北京市，上海市，天津市，湖北省武汉市，福建省，黑龙江省，山东省
1024,北京市戏曲艺术发展基金会,中秋节京剧演唱会活动,艺术,
1025,中国民航科普基金会,民航强国之路展,科学研究,
1026,中国民航科普基金会,民航博物馆运行,公共服务,
1027,中国民航科普基金会,科普宣传,科学研究,北京市，陕西省榆林市
1028,中国民航科普基金会,通用航空,科学研究,浙江省宁波市宁海县
1029,中国民航科普基金会,项目研究,科学研究,
1030,南京工业大学教育发展基金会,中建安装公司奖学金,教育,江苏省南京市
1031,黑龙江省青年创业就业基金会,青年创业就业公益培训——百人计划,就业,
1032,中国人寿慈善基金会,玉树地震孤儿助养金,扶贫助困,青海省玉树藏族自治州
1033,南京工业大学教育发展基金会,南京宁波经济促进会助学金,教育,江苏省南京市
1034,黑龙江省青年创业就业基金会,支持各县（市、区）团委青年创业就业专项资金,就业,黑龙江省
1035,中国人寿慈善基金会,汶川地震孤儿助养金,扶贫助困,四川省阿坝藏族羌族自治州汶川县
1036,南京工业大学教育发展基金会,杭州时迈年喜奖学金,教育,江苏省南京市
1037,中国人寿慈善基金会,舟曲泥石流孤儿助养金,扶贫助困,甘肃省甘南藏族自治州舟曲县
1038,南京工业大学教育发展基金会,江苏陶欣伯助学金款,教育,江苏省南京市
1039,中国人寿慈善基金会,特困公安民警家庭抚助,公共安全,北京市
1040,南京工业大学教育发展基金会,江苏柯菲平奖学金,教育,江苏省南京市
1041,中国人寿慈善基金会,雅安地震捐赠,安全救灾,四川省雅安市
1042,南京工业大学教育发展基金会,巴斯夫奖学金,教育,江苏省南京市
1043,南京工业大学教育发展基金会,奖励化工、材料学院优秀学生,教育,江苏省南京市
1044,南京工业大学教育发展基金会,江苏中丹集团奖学金,教育,江苏省南京市
1045,南京工业大学教育发展基金会,亚什兰奖学金,教育,江苏省南京市
1046,南京工业大学教育发展基金会,上海浦景化工奖学金,教育,江苏省南京市
1047,南京工业大学教育发展基金会,江苏圣奥化学奖学金,教育,江苏省南京市
1048,南京工业大学教育发展基金会,江苏天鹏石化奖学金,教育,江苏省南京市
1049,南京工业大学教育发展基金会,南京思齐企业就业创业指导中心建设费,教育,江苏省南京市
1050,南京工业大学教育发展基金会,杭州时迈奖学金,教育,江苏省南京市
1051,南京工业大学教育发展基金会,北京汇能橡塑奖学金,教育,江苏省南京市
1052,南京工业大学教育发展基金会,北京普析通用奖学金,教育,江苏省南京市
1053,南京工业大学教育发展基金会,江苏昆仲机械奖助学金,教育,江苏省南京市
1054,南京工业大学教育发展基金会,南京扬子检修奖学金,教育,江苏省南京市
1055,南京工业大学教育发展基金会,捐助工业大学规划二期人防工程和环科楼项目,教育,江苏省南京市
1056,宁波鄞州银行公益基金会,牵手夕阳，定格幸福,公共服务,浙江省宁波市鄞州区
1057,宁波鄞州银行公益基金会,牵手公益流动伞,公共服务,浙江省宁波市鄞州区
1058,宁波鄞州银行公益基金会,天使味道,教育,浙江省宁波市
1059,宁波鄞州银行公益基金会,新年圆梦,公共服务,浙江省宁波市鄞州区
1060,宁波鄞州银行公益基金会,公益盛典,文化,浙江省宁波市鄞州区
1061,宁波鄞州银行公益基金会,慈善画展,艺术,浙江省宁波市鄞州区
1062,宁波鄞州银行公益基金会,牵手爱,扶贫助困,浙江省宁波市鄞州区
1063,宁波鄞州银行公益基金会,雅安灾后重建,安全救灾,四川省雅安市
1064,宁波鄞州银行公益基金会,菲特”救灾,安全救灾,浙江省宁波市
1065,宁波鄞州银行公益基金会,公益创投,文化,浙江省宁波市鄞州区
1066,宁波鄞州银行公益基金会,后仓村敬老院,公共服务,浙江省宁波市鄞州区
1067,宁波鄞州银行公益基金会,牵手刑案遗孤,公共服务,浙江省宁波市鄞州区
1068,宁波鄞州银行公益基金会,牵手童乐园,公共服务，社区发展,浙江省宁波市
1069,宁波鄞州银行公益基金会,牵手筑梦,教育,甘肃省定西市陇西县
1070,宁波鄞州银行公益基金会,牵手书乐园,教育,浙江省宁波市
1071,宁波鄞州银行公益基金会,器官捐献,志愿服务,浙江省宁波市
1072,北京市仁爱慈善基金会,“仁爱助学”孤困学生资助关怀项目,教育,河北省，安徽省，湖北省
1073,北京市仁爱慈善基金会,仁爱“衣+衣”衣物捐赠项目,扶贫助困,全国
1074,北京市仁爱慈善基金会,仁爱心栈“奉送爱心粥”项目,,广东省深圳市，北京市丰台区
1075,北京市仁爱慈善基金会,赈灾项目,安全救灾，心理健康,四川省雅安市芦山县，甘肃省定西市岷县，广东省
1076,北京市仁爱慈善基金会,龙泉之声倾听热线,心理健康,
1077,北京市仁爱慈善基金会,“仁爱老年”关怀项目,文化,
1078,北京市仁爱慈善基金会,“仁爱孝德奖”弘扬孝悌精神项目,文化,内蒙古自治区，河北省邢台市
1079,北京市仁爱慈善基金会,“四和仁爱”社区关怀项目,扶贫助困,
1080,浙江青田之家公益基金会,新生代课题研究项目,科学研究,浙江省丽水市青田县
1081,浙江青田之家公益基金会,《家乡青田》华文教育读本项目,科学研究,浙江省丽水市青田县
