name,jingzichan_x,zhichu_x,shouru_x,feiyong_x
天津市人口福利基金会,16497033.91,0.184292158,0.187869612,0.184292158
天津市妇女儿童发展基金会,52157114.65,0.594930967,1.029516522,0.594930967
天津市宏志教育基金会,13368519.25,0.087952116,0.044789219,0.087952116
天津市滨海社会救助基金会,6812077.12,0.196734913,0.151420325,0.196734913
天津市鹤童老年公益基金会,13351954.5,0.450324726,0.450964622,0.450324726
宁夏回族自治区关心下一代基金会,15023318.03,0.213959207,0.242220222,0.213959207
宁夏回族自治区扶贫基金会,120444333.9,0.245072582,1.069667534,0.25300697
宁夏煤炭职工扶贫济困基金会,26567558.22,0.48591868,0.519206694,0.485653412
宁夏青年创业就业基金会,11241982.48,0.07683836,0.128910991,0.086660834
宁夏麦丽燕基金会,14254584.92,0.328280887,0.328927687,0.328280887
宁波市善园公益基金会,20986925.64,0.038666927,0.085692664,0.038666927
宁波市海曙区公益组织发展基金会,6934080.08,0.72451405,0.871059733,0.705661873
宁波诺丁汉大学教育发展基金会,106714783.8,0.05767541,0.377562217,0.05767541
宁波鄞州银行公益基金会,343382534.3,0.137285487,0.16736762,0.159607929
安利公益基金会,195080464.3,0.947753676,0.710973666,0.939057707
安徽天徽慈善基金会,3931849.1,0.02601346,0.025545456,0.02601346
安徽李恩三慈善基金会,6086152.21,0.289864279,0.299785596,0.289864279
安徽省中小学幼儿教师奖励基金会,25833702.01,0.106238035,0.132422789,0.099347811
安徽省体育事业发展基金会,17694742.36,0.295223129,0.375571751,0.295236127
安徽省儿童少年基金会,19081033.04,0.493777547,0.57438375,0.495585225
安徽省青年创业就业基金会,24741930.01,0.33123849,0.304127511,0.33123849
安徽道德建设基金会,18516348.09,0.222775099,0.534017863,0.222576409
安徽金牛公益基金会,5474021.69,0.417430491,0.434406735,0.417430491
安徽韩再芬黄梅艺术基金会,51232648.14,0.104150274,0.149841941,0.107006655
安徽黄山公益基金会,4480917.72,0.127212064,0.037938657,0.127212064
宝钢教育基金会,197428815.3,0.184205891,0.035624665,-0.000527647
山东省中国海洋大学教育基金会,55427944.82,0.293813809,0.509790081,0.293830254
山东省体育基金会,117469188.5,0.007001261,0.097481336,0.007001261
山东省儿童少年福利基金会,13853515.93,0.118194974,0.128670885,0.118194974
山东省友芳公益基金会,56523632.17,0.059074069,0.540070187,0.059074069
山东省彩虹援助基金会,25269357.72,0.110991602,0.184477982,0.110991602
山东省普觉公益基金会,7305195.27,0.581737717,0.694324222,0.581737717
山东省老龄事业发展基金会,13298024.43,0.354695235,0.335452327,0.354695235
山东省青年创业就业基金会,19322377.01,0.237701507,0.129900647,0.237701507
山东英才学院教育发展基金会,14018080.05,0.816016218,0.971241804,0.816016218
山西省创业就业基金会,37054020.07,0.06393709,0.013557753,0.010861445
山西省妇女儿童发展基金会,36818989.17,0.406764156,0.753485432,0.406888459
巨人慈善基金会,45968529.08,0.102893724,1.102893724,0.102893724
常州宝林慈善基金会,14866890.06,0.059861245,0.264434493,0.059861245
常州工程职业技术学院教育发展基金会,52079535.05,0.112355688,0.047309235,0.112355688
常熟理工学院教育发展基金会,59430124.96,0.618849244,0.421691431,0.709740051
广东省一心公益基金会,41022471.21,0.339614172,0.729091779,0.339614172
广东省东风日产阳光关爱基金会,3314540.01,5.040061677,5.200440688,5.067790628
广东省中山大学教育发展基金会,692757405.9,0.349560527,0.556126693,0.349560314
广东省丹姿慈善基金会,6708234.03,0.520331891,0.892569347,0.520815543
广东省人口基金会,48632302.81,0.604684404,0.622373049,0.604684404
广东省何享健慈善基金会,391807306.2,0.201865862,0.939227673,0.203728946
广东省依依关爱儿童基金会,4012515.33,0.251269687,0.243021118,0.251269687
广东省保利地产和谐文化基金会,9564246.72,0.191329004,0.181652103,0.191329004
广东省利海绿色基金会,335140.85,10.29050774,9.437715874,10.29154751
广东省千禾社区公益基金会,22391724.56,1.484126965,1.77934632,1.484303506
广东省华南农业大学教育发展基金会,96554625.87,0.304215286,0.598210759,0.304215286
广东省华南理工大学教育发展基金会,591712754.8,0.119836913,0.238854273,0.120089259
广东省华商慈善基金会,5934103.66,0.026978081,0.022703961,0.026978081
广东省华美教育慈善基金会,78197906.71,0.096803303,0.008978631,0.065688455
广东省卓越慈善基金会,7668848.94,0.382048395,0.002460082,0.382048395
广东省南方阅读公益基金会,6228031.87,0.304577852,0.649666875,0.304695668
广东省合生珠江教育发展基金会,23833272.29,2.97025409,2.639611385,2.973245107
广东省同心圆慈善基金会,7239205.75,0.111122352,0.632766376,0.128485159
广东省唯品会慈善基金会,12071442.85,2.41134371,2.422149514,2.41134371
广东省妇女儿童基金会,86741491.52,0.582519776,0.503315081,0.584725144
广东省尚东公益基金会,81791.67,101.9833253,102.2931461,101.9833253
广东省山海源慈善基金会,9800606.72,0.910432866,0.897570643,0.910432866
广东省崇善乐慈善基金会,6028133.31,0.671807217,0.668106633,0.671874816
广东省广东外语外贸大学教育发展基金会,79863256.17,0.119080003,0.374230683,0.119245949
广东省广州中医药大学教育发展基金会,62397338.71,0.05119644,0.350694907,0.05119644
广东省广铝公益基金会,4002671.6,0.593110389,1.092770141,0.592448868
广东省广雅教育发展基金会,24237248.32,0.28949558,0.411522819,0.290088436
广东省志愿者事业发展基金会,49181880.12,0.371220532,0.561349012,0.371220532
广东省惠民慈善基金会,4129045.02,0.035454668,0.016699823,0.035551058
广东省慧灵智障人士扶助基金会,7851349.55,1.218532132,1.524916201,1.218532132
广东省执信教育发展基金会,19085489.35,0.113624987,0.244533516,0.113624987
广东省扶贫基金会,875258528.4,1.422475253,1.423611601,1.422475253
广东省教育基金会,157292333.5,0.267718625,0.362656274,0.268730869
广东省方圆公益基金会,17742884.31,0.523164953,0.378249007,0.577974652
广东省明德幸福文化教育基金会,7316140.39,0.470225726,0.834804197,0.502972517
广东省春桃慈善基金会,5467396.52,1.127167824,1.449531347,1.129549042
广东省消防救助基金会,93147236.87,0.07730967,0.191321443,0.07730967
广东省潮商公益基金会,12275254.34,3.929342948,3.436015571,3.929422343
广东省烛光教育发展基金会,4802851.49,0.177810516,0.77395401,0.17796938
广东省环境保护基金会,24480345.02,0.514859394,0.562676589,0.515743104
广东省环球公益基金会,14734019.28,0.102101609,0.062247412,0.102422717
广东省绿景慈善基金会,6066295.59,0.073436998,0.067926924,0.067631241
广东省茂华慈善基金会,18782460.52,0.252232419,0.103722172,0.252289504
广东省谢汉才慈善基金会,6024390.2,0.083478839,0.417184601,0.084526248
广东省豪爵慈善基金会,41357065.18,0.571131363,0.508587829,0.571131363
广东省财新公益基金会,6031590.19,0.423184543,0.648883209,0.420762799
广东省鸿发慈善基金会,2144071.47,2.820049301,3.823196174,2.820049301
广东省麦田教育基金会,26541426.42,1.021715849,1.291283712,1.013162238
广州农商银行太阳公益基金会,106765846.2,0.086494853,0.080610901,0.086494853
广州市南山自然科学学术交流基金会,61442540.27,0.091020313,0.048445752,0.091020313
广州市振兴粤剧基金会,314162592.4,0.051168363,0.034186332,0.055409063
广州市禁毒基金会,121047633.6,0.056062246,0.078578895,0.056062246
广州市羊城志愿服务基金会,10958259.95,1.927776224,1.836796022,1.926301741
广州市职工济难基金会,435111681.7,0.200342122,0.24227348,0.202423445
广州市青少年发展基金会,123452494.5,0.523098573,0.632025098,0.523098651
广西吕贻标爱心基金会,20292585.97,0.123058291,0.624182843,0.116300382
广西国海扶贫助学基金会,9066862.45,0.08134878,0.041870275,0.056402099
广西壮族自治区扶贫基金会,70936202.37,0.116869761,0.098368149,0.116869761
广西壹方慈善基金会,6557954.8,1.373782247,1.381636743,1.373782247
广西妇女儿童发展基金会,21568645.48,1.094812137,1.182623487,1.094812137
广西李宁基金会,15225505.67,0.43616655,0.535314887,0.43616655
广西桂嘉汇青少年儿童救助基金会,21894744.5,0.108777015,0.091346122,0.136272015
广西民族大学教育基金会,10459906.43,2.521654852,2.842883919,12.36766119
广西荣和爱心基金会,12222293.11,0.151763993,0.005324534,0.151780029
延安教科文发展基金会,11042756.54,0.043060952,0.050495786,0.043060952
建德市老龄事业发展基金会,11443826.01,0.153196932,0.195044201,0.153196932
张家港市七里庙村利民基金会,7697204.55,0.394024153,0.027701978,0.260296642
张家港市农联爱心基金会,9010483.35,0.086719746,0.115768256,0.087043055
德阳市关心下一代基金会,15299562.67,0.029595807,0.161109478,0.029582244
思利及人公益基金会,78836405.02,0.253759555,0.363241307,0.253759555
惠州市协和医疗救助基金会,3589624.36,0.049247075,0.160292221,0.049247075
慈济慈善事业基金会,1023629451,0.279639016,0.442952116,0.279639016
成都市老龄事业发展基金会,22573997.43,0.152685526,0.200292427,0.152685526
扬州市翔宇妇女儿童基金会,11497930.6,0.229497271,0.390707943,0.235821192
招商局慈善基金会,170737127.3,0.727904678,0.786690232,0.727904678
攀枝花市关心下一代基金会,13827758.05,0.279348562,0.303867206,0.279348562
新疆妇女儿童发展基金会,88069130.74,0.735126319,0.858973122,0.734499187
新疆生产建设兵团青年创业增收基金会,5538378.33,0.000404451,0.617620922,0.000404451
新疆维吾尔自治区新勇教育基金会,65751902.59,0.057114794,0,0.057114794
无锡灵山慈善基金会,24790471.76,2.805330467,3.762256287,2.805429336
昆山市党员关爱暨帮扶困难群众基金会,333768273.2,0.107359558,0.132418017,0.107359258
晋江市安海中心小学种胜教育基金会,4611122.71,0.00213332,0.568399471,0.00213332
晋江市陈埭民族中学教育基金会,86979906.48,0.104318739,0.196959142,0.012702847
李四光地质科学奖基金会,99479627.7,0.103244201,0.160179944,0.103244201
杭州市余杭区老年基金会,34685759.33,0.066154594,0.076041324,0.066181378
杭州市公羊会公益基金会,1580799.82,1.184615311,2.045181938,1.184615311
杭州市关爱孤儿基金会,7939605.32,0.310493924,0.335686613,0.297330743
杭州市老龄事业发展基金会,43268032.19,0.153936189,0.157436124,0.153936189
杭州市送温暖工程基金会,34386592.39,0.103744926,0.057581624,0.103744926
林则徐基金会,19619442.07,0.1836339,0.210635345,0.191415008
桃源居公益事业发展基金会,313781544.5,0.20257906,0.203946879,0.20257906
桐庐县老龄事业发展基金会,10691926.81,0.08160241,0.088062096,0.08160241
梅州市希望教育基金会,40211671.67,0.325658283,0.370595811,0.332071873
榆林学院教育发展基金会,21226271.5,0.126140293,0.219272176,0.126140293
武汉善之源公益基金会,1785446.35,0.168706251,0.048538176,0.168706251
武汉大学姚梅镇法学基金会,6445626.39,0.011403534,0.701115615,0.011403534
武汉大学马克昌法学基金会,16936263.09,0.124787691,0.403598618,0.125452984
武汉市石门峰慈善基金会,1888781.68,0.021751588,0.004094073,0.021751588
武汉市社会组织发展基金会,10276360.83,0.282433123,0.390267861,0.282433123
武汉理工大学教育发展基金会,65618203.36,0.263240096,0.598759343,0.263240096
武汉科技大学教育发展基金会,2206620.85,0.043593737,0.137230508,0.043593737
比亚迪慈善基金会,67087556.85,0.239652246,0.180915627,0.239830358
永恒慈善基金会,60304849.5,0.06227393,0.062219819,0.062278271
江汉大学教育发展基金会,27004640.32,0.085553574,0.054322976,0.085553574
江苏七彩凤凰母语发展基金会,8696721.75,0.175316667,0.213471243,0.175316667
江苏中大公益基金会,149000521.6,0.048452519,0.045531671,0.076788631
