基金会名称,净资产,总支出,总收入,费用合计,label
中国禁毒基金会,326317347.4,47508781.12,78297440.12,47508781.12,6
中国科学技术大学教育基金会,740301556.4,39085715.79,133208100.2,63652353.79,6
中国移动慈善基金会,303027283.8,114948396,113074452.5,114948396,0
中国红十字基金会,1505831271,907930117.5,864860159.6,908258262.8,5
中国经济改革研究基金会,121678935.4,15588422.11,34443561.48,15572744.52,6
中国绿化基金会,631388234.8,239590452.7,244635093.2,239158322.9,0
中国绿色碳汇基金会,514194047.2,310942861.8,291433673.5,310733758.5,5
中国老龄事业发展基金会,426193837.7,176715949.5,259848104.2,176760668.8,7
中国艺术节基金会,11132705.39,11538550.8,12727773.92,11133440.72,1
中国金融教育发展基金会,212411633.7,78655930.26,128883630.9,78016149.22,7
中国青少年发展基金会,3158271553,1281629201,1821988864,1276090669,7
中国马克思主义研究基金会,167596777.1,18582767.95,20214303.52,18441161.7,2
中天爱心慈善基金会,39935803.71,10610277.6,50546081.31,10610277.6,3
中央财经大学教育基金会,451964122.4,32483823.63,101761137,32483823.63,6
中远海运慈善基金会,1150652705,101438912.2,171700339.4,101438912.2,2
云南华商公益基金会,14701490.24,14953851.54,14668527.9,14939055.14,1
云南君仁博爱基金会,5950344.96,869558.6,2474962,857589.41,4
云南大益爱心基金会,278918722.4,19941608.23,80977850.1,19941608.23,6
云南教育基金会,104747030.3,42122601.05,49172028.24,42216001.05,0
云南民族文化发展基金会,24994981.6,11132900.01,8657012.53,11123120.36,0
云南省俊发教育扶贫基金会,10912313.02,11858757.85,12407102.69,11857814,1
云南省关心下一代基金会,21814382.48,1729997.22,3688723.65,2549671.53,6
云南省妇女儿童发展基金会,33963273.84,12297886.7,17087652,12297886.7,7
云南省扶贫基金会,63580077.31,26156336.48,37254116.84,26156336.48,7
云南省绿色环境发展基金会,24919730.36,18255043.16,19511432.76,18347986.81,5
云南省青年创业就业基金会,24845206.68,9030500.07,10824998.37,9030500.07,0
人保慈善基金会,210508451.1,60152921.3,54227941.53,60152921.3,0
亿利公益基金会,65952181.06,17968834.89,22180723.47,17968834.89,0
传媒大学教育基金会,164615246.7,27604471.5,62268231.94,27604471.5,4
兰州大学教育发展基金会,90705102.66,12947113.62,27956404.09,12947113.62,6
内蒙古乌拉特后旗盛安爱心济困基金会,6173293.17,968980.76,1022051.6,987320.72,6
内蒙古云曙碧公益事业基金会,68276585,19809151.64,25489825.38,19985699.4,0
内蒙古光彩事业基金会,7001773.33,-1773.33,7000000,-1773.33,3
内蒙古民族青年文化艺术基金会,3184308.85,1786175.1,4373017.1,1786175.1,1
内蒙古自治区儿童基金会,3641310.86,1276532.39,1141877.4,1276532.39,0
内蒙古青年创业就业基金会,13719778.84,2949669.22,4314499.31,2956791.22,0
凉山州关心下一代基金会,27727186.86,6822352.5,13968694.34,6822352.5,4
凯风公益基金会,157557762,32383691.43,69410795.03,32384865.33,4
刘天华阿炳中国民族音乐基金会,54702236.33,7242424.06,6560840.26,7259764.78,2
包头市扶贫基金会,17490441.46,4649444.77,6865151.33,4649714.77,0
北京万通公益基金会,8198696.31,8285357.83,7094121.47,8285357.83,1
北京三一公益基金会,10429859.32,6761416.57,6891813.47,6761416.57,5
北京世纪慈善基金会,29693176.41,20235426.52,14902374.7,20008768.16,5
北京中国国家博物馆事业发展基金会,50326961.66,8842193.82,11182808.22,8842193.82,6
北京中国石油大学教育基金会,40309516.11,6664481.02,12865219.75,6664481.02,6
北京中国青年政治学院教育基金会,8782568.6,2375840.13,5540710.87,2375840.13,7
北京中央民族大学教育基金会,94427411.97,20237766.13,16411745.64,20237766.13,6
北京中央音乐学院教育基金会,44155486.56,11845751.93,24295488.06,11845751.93,7
北京中艺艺术基金会,80630669.17,29977124.05,41882445.29,31187650.8,7
北京中金公益基金会,12791668.92,8713486.99,11087232.68,8713486.99,1
北京交通大学教育基金会,648133386.7,150585804.3,132374702.6,150585800.3,6
北京京东公益基金会,5216432.42,9767150.44,12982504.09,9767150.44,8
北京京华公益事业基金会,21517700.7,66400886.83,68473014.6,66400886.83,8
北京京安公益基金会,50131152,10317783.76,11677902.11,10317783.76,6
北京健康长城公益基金会,7152088.89,2466822.34,5305010.17,2466822.34,7
北京光华慈善基金会,9625824.65,10584830.61,10426343.65,10435567.85,1
北京凌盛爱心公益基金会,6033737.06,4542755.92,6565268.81,4542755.92,1
北京利星行慈善基金会,24849622.36,3627289.57,5145201.16,3627289.57,6
北京华亚艺术基金会,6702963.75,4105050.09,4425102.97,4050627.65,5
北京华彬文化基金会,332639988.1,54289663.22,244408768.3,54289663.28,3
北京协和医学基金会,26655071.16,2388355.82,4902411.71,2388355.82,6
北京友好传承文化基金会,8955653.15,4489284.67,10048969.86,4489284.67,7
北京启明星辰慈善公益基金会,5066115.75,5611364.25,6944794.1,5611364.25,1
北京大学教育基金会,10482683461,778537675,3127442766,779895477.6,6
