name,paiming,score,target
江苏省扶贫基金会,348,49.6,1
江苏省青少年发展基金会,234,58.16,1
天津市鹤童老年公益基金会,107,75.68,2
天津中国民航大学教育发展基金会,184,64.8,1
天津市宏志教育基金会,348,49.6,1
天津市滨海社会救助基金会,336,50.4,1
天津市妇女儿童发展基金会,320,51.27,1
江苏陶欣伯助学基金会,1,100,2
天津市人口福利基金会,348,49.6,1
刘天华阿炳中国民族音乐基金会,279,54.8,1
南京大学教育发展基金会,1,100,2
南京工业大学教育发展基金会,364,48.8,1
南京金鹰国际慈济基金会,348,49.6,1
包头市扶贫基金会,364,48.8,1
科左后旗扶贫助学基金会,364,48.8,1
老牛基金会,1,100,2
南京市中小学幼儿教师奖励基金会,348,49.6,1
南京信息大学教育发展基金会,721,5.6,0
南通市爱心帮困基金会,675,24,0
内蒙古民族青年文化艺术基金会,348,49.6,1
内蒙古青年创业就业基金会,708,12,0
内蒙古云曙碧公益事业基金会,348,49.6,1
内蒙古自治区儿童基金会,721,5.6,0
无锡灵山慈善基金会,1,100,2
盐城市扶贫基金会,517,41.22,0
张家港市农联爱心基金会,348,49.6,1
江苏宏德文化出版基金会,207,62,1
江苏七彩凤凰母语发展基金会,662,24.97,0
江苏沙钢公益基金会,336,50.4,1
江苏省关心下一代基金会,663,24.8,0
江苏中大公益基金会,663,24.8,0
南京新城市慈善基金会,364,48.8,1
扬州市翔宇妇女儿童基金会,336,50.4,1
黑龙江省妇女儿童基金会,385,47.11,1
南航“十分”关爱基金会,216,60.8,1
腾讯公益慈善基金会,1,100,2
万科公益基金会,210,61.6,1
广西荣和爱心基金会,692,18.4,0
广西桂嘉汇青少年儿童救助基金会,384,47.2,1
黑龙江省华侨经济文化基金会,426,45.21,1
广西李宁基金会,384,47.2,1
广西国海扶贫助学基金会,207,62,1
哈尔滨市老年基金会,348,49.6,1
广西壮族自治区扶贫基金会,322,51.2,1
广西妇女儿童发展基金会,180,65.6,1
海南改革发展研究基金会,699,15.6,0
海南省李惠智教育基金会,186,64.4,1
辽宁爱之光防盲基金会,229,58.8,1
广东省中山大学教育发展基金会,123,73.6,2
沈阳市职工爱心慈善基金会,203,62.4,1
广东省扶贫基金会,18,93.93,2
深圳市青少年发展基金会,1,100,2
广州市青少年发展基金会,166,68.15,1
辽宁省妇女儿童基金会,710,11.2,0
广州市南山自然科学学术交流基金会,304,52.8,1
吉林师范大学助学基金会,222,60,1
广州市职工济难基金会,638,28,0
深圳市警察基金会,121,74,2
广东省人口基金会,37,88.8,2
广东省合生珠江教育发展基金会,304,52.8,1
广东省环境保护基金会,184,64.8,1
广州市振兴粤剧基金会,314,52,1
吉林大学教育基金会,210,61.6,1
梅州市希望教育基金会,314,52,1
广东省教育基金会,167,68,1
陕西省老龄事业发展基金会,348,49.6,1
深圳市绿色基金会,180,65.6,1
延安教科文发展基金会,529,40.45,0
陕西省西安市老龄事业发展基金会,224,59.6,1
深圳市老龄事业发展基金会,720,6.4,0
东莞市东莞理工学院教育发展基金会,126,73.2,2
广东省志愿者事业发展基金会,503,42,0
深圳市综研软科学发展基金会,4,98.8,2
陕西纯山教育基金会,85,77.6,2
广州市禁毒基金会,207,62,1
广东省豪爵慈善基金会,304,52.8,1
广东省华南理工大学教育发展基金会,278,54.82,1
陕西省红十字基金会,28,91.2,2
陕西妇女儿童发展基金会,1,100,2
广东省华美教育慈善基金会,218,60.4,1
青海省雪域仁济慈善基金会,364,48.8,1
广东省东风日产阳光关爱基金会,721,5.6,0
